iteration,ranked_count,skipped_count,accuracy_a_1st,accuracy_a_2nd,accuracy_a_3rd,accuracy_b_1st,accuracy_b_2nd,accuracy_b_3rd,accuracy_c_1st,accuracy_c_2nd,accuracy_c_3rd,conciseness_a_1st,conciseness_a_2nd,conciseness_a_3rd,conciseness_b_1st,conciseness_b_2nd,conciseness_b_3rd,conciseness_c_1st,conciseness_c_2nd,conciseness_c_3rd,adequacy_a_1st,adequacy_a_2nd,adequacy_a_3rd,adequacy_b_1st,adequacy_b_2nd,adequacy_b_3rd,adequacy_c_1st,adequacy_c_2nd,adequacy_c_3rd,code_context_a_1st,code_context_a_2nd,code_context_a_3rd,code_context_b_1st,code_context_b_2nd,code_context_b_3rd,code_context_c_1st,code_context_c_2nd,code_context_c_3rd,design_patterns_a_1st,design_patterns_a_2nd,design_patterns_a_3rd,design_patterns_b_1st,design_patterns_b_2nd,design_patterns_b_3rd,design_patterns_c_1st,design_patterns_c_2nd,design_patterns_c_3rd,avg_points_a,avg_points_b,avg_points_c
1,150,0,7,89,54,136,1,13,7,60,83,92,20,38,51,9,90,7,121,22,6,100,42,140,0,8,2,48,98,5,98,46,139,0,10,5,51,93,10,103,36,132,0,17,7,46,96,9.306666666666667,13.013333333333334,7.52
2,150,0,2,90,57,139,0,10,8,59,82,98,20,32,44,5,101,8,125,17,6,106,37,142,3,4,1,40,108,0,98,50,138,1,9,10,49,89,10,98,40,128,5,15,10,45,93,9.253333333333334,12.933333333333334,7.573333333333333
3,150,0,3,87,60,138,4,8,9,59,82,94,14,42,52,9,89,4,127,19,6,98,45,139,2,8,4,49,96,3,91,54,137,2,9,8,55,85,6,100,36,125,1,16,11,41,90,9.02,12.926666666666666,7.613333333333333
4,150,0,4,94,51,137,2,10,8,53,88,92,23,35,53,8,89,5,119,26,7,101,41,140,1,8,2,47,100,3,94,51,136,2,10,9,52,87,6,108,34,127,1,20,15,39,94,9.253333333333334,12.96,7.546666666666667
5,150,0,6,87,56,135,2,12,8,60,81,92,20,38,53,3,94,5,127,18,7,105,37,138,2,9,4,42,103,3,98,47,135,1,12,10,49,89,7,98,38,125,2,16,11,43,89,9.18,12.806666666666667,7.573333333333333
