iteration,base_project,filename,cosine_similarity,bert_f1
1,AbdurRKhalid,EmailNotificationListener.java,0.39479057453207667,0.8900589942932129
1,AbdurRKhalid,LogOpenListener.java,0.48968074548590673,0.8824490904808044
1,AbdurRKhalid,Editor.java,0.2995800525335756,0.899238646030426
1,AbdurRKhalid,EventListener.java,0.36254276341154174,0.8809735178947449
1,AbdurRKhalid,EventManager.java,0.17375606367173557,0.8769823908805847
1,AbdurRKhalid,Computer.java,0.2613134542384756,0.8681235313415527
1,AbdurRKhalid,ComputerPart.java,0.4195054773303048,0.8755031228065491
1,AbdurRKhalid,ComputerPartDisplayVisitor.java,0.3020776859359846,0.9003596901893616
1,AbdurRKhalid,ComputerPartVisitor.java,0.23417659708582497,0.8875756859779358
1,AbdurRKhalid,Keyboard.java,0.3228822587431403,0.8678087592124939
1,AbdurRKhalid,Monitor.java,0.35341586874509945,0.8874610066413879
1,AbdurRKhalid,Mouse.java,0.556735408475009,0.8798748850822449
1,AbdurRKhalid,Test.java,0.4818994279899157,0.8776533007621765
1,AbdurRKhalid,GUIFactory.java,0.42714248191182125,0.879764199256897
1,AbdurRKhalid,Application.java,0.32355420326353623,0.8840532302856445
1,AbdurRKhalid,MacOSFactory.java,0.6179911012816258,0.914588212966919
1,AbdurRKhalid,WindowsOSFactory.java,0.5290537032724435,0.9209979176521301
1,AbdurRKhalid,Button.java,0.23019547707966953,0.8641979098320007
1,AbdurRKhalid,CheckBox.java,0.20198054404496116,0.8509529829025269
1,AbdurRKhalid,MacOSButton.java,0.5284541129121771,0.9031884074211121
1,AbdurRKhalid,MacOSCheckBox.java,0.5252742806610389,0.8959460258483887
1,AbdurRKhalid,WindowsButton.java,0.618972228106195,0.8972015976905823
1,AbdurRKhalid,WindowsCheckBox.java,0.5606879957165756,0.9032068848609924
1,AbdurRKhalid,Test.java,0.30373931591924436,0.8657726645469666
1,AbdurRKhalid,Test.java,0.2361031921326942,0.8667116165161133
1,AbdurRKhalid,HtmlDialog.java,0.49417986978764716,0.8938248753547668
1,AbdurRKhalid,WindowsDialog.java,0.506476749910441,0.8962136507034302
1,AbdurRKhalid,HtmlButton.java,0.3489162643373565,0.8995146155357361
1,AbdurRKhalid,WindowsButton.java,0.32901753517510457,0.8917440176010132
1,AbdurRKhalid,Dialog.java,0.32439396723502584,0.896192193031311
1,AbdurRKhalid,Button.java,0.24223508959005963,0.885434091091156
1,AbdurRKhalid,TextEditor.java,0.3995556435673593,0.8815114498138428
1,AbdurRKhalid,TextWindowState.java,0.45554907717554527,0.906685471534729
1,AbdurRKhalid,TextWindow.java,0.1889788707517966,0.8804083466529846
1,AbdurRKhalid,Singleton.java,0.5903033060073807,0.9016761183738708
1,AbdurRKhalid,Test.java,0.20785018763559496,0.8460219502449036
1,AbdurRKhalid,SquarePeg.java,0.5678846258337128,0.8954861760139465
1,AbdurRKhalid,SquarePegAdapter.java,0.43015287654873147,0.8938742280006409
1,AbdurRKhalid,RoundHole.java,0.28947944131251757,0.8836938142776489
1,AbdurRKhalid,RoundPeg.java,0.5066869326526994,0.8990287780761719
1,AbdurRKhalid,Test.java,0.09410103079699925,0.8390077352523804
1,AbdurRKhalid,DataSource.java,0.41977607715206583,0.886773407459259
1,AbdurRKhalid,FileDataSource.java,0.4091565618043842,0.8937560319900513
1,AbdurRKhalid,CompressionDecorator.java,0.3273069597520065,0.8802679181098938
1,AbdurRKhalid,EncryptionDecorator.java,0.2109538888194431,0.8641520142555237
1,AbdurRKhalid,DataSourceDecorator.java,0.39576379291299557,0.8797796368598938
1,AbdurRKhalid,Test.java,0.16772936658085272,0.8358074426651001
1,AbdurRKhalid,AudioMixer.java,0.24492431337534235,0.8764093518257141
1,AbdurRKhalid,BitrateReader.java,0.33723278486783603,0.8834234476089478
1,AbdurRKhalid,Codec.java,0.21321467496302812,0.8751353025436401
1,AbdurRKhalid,CodecFactory.java,0.4150173036597742,0.8802891969680786
1,AbdurRKhalid,MPEG4CompressionCodec.java,0.444066471891154,0.8893148899078369
1,AbdurRKhalid,OggCompressionCodec.java,0.37777580433516905,0.8874861598014832
1,AbdurRKhalid,Test.java,0.1389486076041541,0.8354266881942749
1,AbdurRKhalid,VideoConversionFacade.java,0.2778565898651558,0.9010968208312988
1,AbdurRKhalid,VideoFile.java,0.4759598047931991,0.9022772312164307
1,JamesZBL,Captain.java,0.38786785479592906,0.8851157426834106
1,JamesZBL,Member.java,0.3928639074937296,0.9003337621688843
1,JamesZBL,NewShip.java,0.4719168703769988,0.9052695631980896
1,JamesZBL,OldCaptain.java,0.46641106474308563,0.8983803391456604
1,JamesZBL,OldSailor.java,0.5288530482655256,0.9070124626159668
1,JamesZBL,OldShip.java,0.5332627435858861,0.8957654237747192
1,JamesZBL,PermanentTeamFactory.java,0.47560492419507727,0.8947069048881531
1,JamesZBL,Sailor.java,0.3006561964305933,0.8793832063674927
1,JamesZBL,Ship.java,0.31530635175689115,0.8940929174423218
1,JamesZBL,TeamFactory.java,0.4415077593806014,0.9051556587219238
1,JamesZBL,YoungCaptain.java,0.4288730730644456,0.8932527899742126
1,JamesZBL,YoungSailor.java,0.42210384711560545,0.9045429229736328
1,JamesZBL,YoungTeamFactory.java,0.41832873783092994,0.9099700450897217
1,JamesZBL,Application.java,0.22763364786315574,0.8695231676101685
1,JamesZBL,Application.java,0.321884505614137,0.8557661175727844
1,JamesZBL,Bus.java,0.33452748226493284,0.8646134734153748
1,JamesZBL,BusAdapter.java,0.492104472683073,0.8790390491485596
1,JamesZBL,Car.java,0.31719576520724335,0.868775486946106
1,JamesZBL,Driver.java,0.36386983633283737,0.8662815093994141
1,JamesZBL,Application.java,0.2330659927055486,0.8433952927589417
1,JamesZBL,CarpenterOperation.java,0.2926498089147617,0.8536219596862793
1,JamesZBL,HammerSmithOperation.java,0.31070674346286753,0.8480021953582764
1,JamesZBL,Operation.java,0.2679968478555716,0.8797343969345093
1,JamesZBL,Application.java,0.21678635803519916,0.8541242480278015
1,JamesZBL,CourseFacade.java,0.339439283338344,0.8885384798049927
1,JamesZBL,CourseParticipator.java,0.35799113839115454,0.8838862180709839
1,JamesZBL,CourseStudent.java,0.34514335463145973,0.8827325105667114
1,JamesZBL,CourseTeacher.java,0.28403554965353883,0.8833618760108948
1,JamesZBL,Application.java,0.3183159869723383,0.86203533411026
1,JamesZBL,ChineseCook.java,0.33915178791735934,0.8842856884002686
1,JamesZBL,ChineseFood.java,0.4211973893290762,0.8803503513336182
1,JamesZBL,Cook.java,0.3709913668691204,0.8870769143104553
1,JamesZBL,Food.java,0.5892008160429781,0.921434223651886
1,JamesZBL,FoodType.java,0.23738677227188013,0.88261878490448
1,JamesZBL,WesternCook.java,0.4260790069315875,0.9074833393096924
1,JamesZBL,WesternFood.java,0.45057620679728144,0.8852077722549438
1,JamesZBL,Application.java,0.12067367083526645,0.8336377739906311
1,JamesZBL,Flower.java,0.5011036064365189,0.8810345530509949
1,JamesZBL,FlowerType.java,0.3596361695677541,0.8577373623847961
1,JamesZBL,Plant.java,0.4755609108523752,0.8920221328735352
1,JamesZBL,Application.java,0.15341983242092208,0.8465433120727539
1,JamesZBL,Northern.java,0.5000138764965583,0.8821226954460144
1,JamesZBL,Southern.java,0.4130791785990441,0.8749591112136841
1,JamesZBL,Time.java,0.5192970817180905,0.8978641629219055
1,JamesZBL,TimeObserver.java,0.5130751542575432,0.911088228225708
1,JamesZBL,TimePoint.java,0.26946735243889924,0.8509701490402222
1,JamesZBL,Application.java,0.05044421359908297,0.8318621516227722
1,JamesZBL,Director.java,0.4614193589882134,0.8875786662101746
1,JamesZBL,EnumDirector.java,0.11390284245341215,0.8614691495895386
1,JamesZBL,LazyInitializationDirector.java,0.25866953803715936,0.8760880827903748
1,JamesZBL,ThreadSafeDoubleCheckLocking.java,0.17440416994592778,0.8628233075141907
1,JamesZBL,ThreadSafeLazyLoadDirector.java,0.521921971914324,0.9066784977912903
1,JamesZBL,Application.java,0.26320807386348244,0.8389543890953064
