iteration,cosine_min,cosine_max,cosine_avg,bert_min,bert_max,bert_avg
1,0.05044421359908297,0.618972228106195,0.32930268632825316,0.8318621516227722,0.9339304566383362,0.879411465326945
2,0.04017522087327746,0.6345286690953457,0.33128008735969444,0.8282222151756287,0.9266005158424377,0.8795712061723073
3,0.05044421359908297,0.6228592627878354,0.3320294005506376,0.829534113407135,0.9183071851730347,0.8792778205871582
4,0.03719625529763623,0.6217450762307024,0.3313775520509543,0.8304771184921265,0.9359760880470276,0.880070995092392
5,0.054287452220873854,0.6179911012816258,0.3342711537728865,0.8309826254844666,0.9266005158424377,0.8801277605692546
Overall,0.03719625529763623,0.6345286690953457,0.3316521760124852,0.8282222151756287,0.9359760880470276,0.8796918495496114
